word,category
Swift,physical
Gentle,personality
Bold,personality
Quantum,abstract
Bright,physical
Curious,personality
Fierce,personality
Calm,personality
Vivid,physical
Mystic,abstract
Noble,personality
Quick,physical
Silent,physical
Brave,personality
Cosmic,abstract
Clever,personality
Radiant,physical
Wild,personality
Fractal,abstract
Serene,personality
Agile,physical
Loyal,personality
Ancient,abstract
Nimble,physical
Wise,personality
Electric,abstract
Proud,personality
Stellar,abstract
Daring,personality
Luminous,physical
Eager,personality
Infinite,abstract
Humble,personality
Gleaming,physical
Witty,personality
Eternal,abstract
Kind,personality
Sleek,physical
Playful,personality
Atomic,abstract
Steady,personality
Glowing,physical
Merry,personality
Digital,abstract
Honest,personality
Polished,physical
Jolly,personality
Magnetic,abstract
Patient,personality
Sharp,physical
Cheerful,personality
Valiant,personality
Flowing,physical
Lively,personality
Orbital,abstract
Fearless,personality
Smooth,physical
Spirited,personality
Solar,abstract
Gallant,personality
Sparkling,physical
Quirky,personality
Lunar,abstract
Resolute,personality
Shimmering,physical
Zesty,personality
Astral,abstract
Dauntless,personality
Glistening,physical
Spry,personality
Primal,abstract
Intrepid,personality
Crystalline,physical
Peppy,personality
Spectral,abstract
Stalwart,personality
Lustrous,physical
Vibrant,personality
Harmonic,abstract
Stout,personality
Iridescent,physical
Dynamic,personality
Ethereal,abstract
Steadfast,personality
Pristine,physical
Plucky,personality
Galactic,abstract
Tenacious,personality
Gleeful,physical
Nebular,abstract
Undaunted,personality
Chipper,personality
Unwavering,personality
Brilliant,physical
Sprightly,personality
Temporal,abstract
Devoted,personality
Dazzling,physical
Snappy,personality
Dimensional,abstract
Ardent,personality
Flawless,physical
Perky,personality
Vigorous,personality
Translucent,physical
Buoyant,personality
Resonant,abstract
Mighty,personality
Opalescent,physical
Breezy,personality
Kinetic,abstract
Courageous,personality
Effervescent,physical
Sunny,personality
Prismatic,abstract
Jovial,personality
Zealous,personality
Keen,personality
Dapper,physical
Zingy,personality
