word,category
Falcon,bird
Otter,mammal
Lynx,mammal
Pangolin,mammal
Wolf,mammal
Eagle,bird
Fox,mammal
Raven,bird
Bear,mammal
Dolphin,mammal
Owl,bird
Tiger,mammal
Heron,bird
Badger,mammal
Crane,bird
Elk,mammal
Hawk,bird
Seal,mammal
Swan,bird
Moose,mammal
Panda,mammal
Hummingbird,bird
Koala,mammal
Pelican,bird
Bison,mammal
Flamingo,bird
Gazelle,mammal
Osprey,bird
Jaguar,mammal
Condor,bird
Lemur,mammal
Ibis,bird
Meerkat,mammal
Kingfisher,bird
Cheetah,mammal
Albatross,bird
Tapir,mammal
Peacock,bird
Antelope,mammal
Parrot,bird
Armadillo,mammal
Phoenix,mythical
Ocelot,mammal
Sparrow,bird
Capybara,mammal
Robin,bird
Sloth,mammal
Finch,bird
Puma,mammal
Toucan,bird
Wolverine,mammal
Starling,bird
Ferret,mammal
Oriole,bird
Orca,mammal
Wren,bird
Platypus,mammal
Cardinal,bird
Narwhal,mammal
Egret,bird
Coyote,mammal
Manatee,mammal
Lark,bird
Okapi,mammal
Dove,bird
Walrus,mammal
Magpie,bird
Raccoon,mammal
Canary,bird
Quokka,mammal
Crow,bird
Wombat,mammal
Swallow,bird
Hedgehog,mammal
Nightingale,bird
Chinchilla,mammal
Bluebird,bird
Buffalo,mammal
Tanager,bird
Mongoose,mammal
Warbler,bird
Anteater,mammal
Kestrel,bird
Squirrel,mammal
Grouse,bird
Porcupine,mammal
Stork,bird
Beaver,mammal
Curlew,bird
Chipmunk,mammal
Harrier,bird
Iguana,reptile
Sandpiper,bird
Chameleon,reptile
Plover,bird
Gecko,reptile
Tern,bird
Salamander,amphibian
Shrike,bird
Axolotl,amphibian
