word,category
Crimson,red
Azure,blue
Emerald,green
Golden,yellow
Silver,metallic
Coral,orange
Violet,purple
Jade,green
Amber,orange
Sapphire,blue
Ruby,red
Onyx,black
Pearl,white
Cobalt,blue
Scarlet,red
Ivory,white
Magenta,pink
Indigo,blue
Bronze,metallic
Turquoise,blue
Copper,metallic
Lavender,purple
Chartreuse,green
Vermillion,red
Teal,green
Ochre,yellow
Plum,purple
Slate,gray
Aqua,blue
Maroon,red
Olive,green
Burgundy,red
Tangerine,orange
Mint,green
Navy,blue
Champagne,white
Salmon,pink
Forest,green
Citrine,yellow
Pewter,metallic
Flamingo,pink
Cerulean,blue
Saffron,yellow
Amethyst,purple
Topaz,yellow
Garnet,red
Platinum,metallic
Orchid,purple
Peach,orange
Rose,pink
