word,category
Glacier,landform
Ember,element
Cascade,water
Fjord,landform
River,water
Mountain,landform
Forest,biome
Ocean,water
Desert,biome
Meadow,biome
Canyon,landform
Valley,landform
Aurora,phenomenon
Thunder,weather
Lightning,weather
Breeze,weather
Storm,weather
Mist,weather
Frost,weather
Dew,weather
Sunrise,phenomenon
Sunset,phenomenon
Horizon,concept
Tundra,biome
Savanna,biome
Prairie,biome
Lagoon,water
Delta,landform
Cliff,landform
Ridge,landform
Summit,landform
Peak,landform
Grove,biome
Glade,biome
Brook,water
Spring,water
Rapids,water
Tide,water
Wave,water
Coral,marine
Kelp,marine
Moss,flora
Fern,flora
Willow,flora
Cedar,flora
Birch,flora
Sequoia,flora
Bamboo,flora
Crystal,mineral
Quartz,mineral
