word,category
Photon,physics
Prism,optics
Quark,physics
Helix,biology
Atom,physics
Neutron,physics
Proton,physics
Electron,physics
Nucleus,physics
Molecule,chemistry
Element,chemistry
Catalyst,chemistry
Enzyme,biology
Genome,biology
Neuron,biology
Synapse,biology
Plasma,physics
Fusion,physics
Fission,physics
Gravity,physics
Momentum,physics
Velocity,physics
Vector,mathematics
Matrix,mathematics
Theorem,mathematics
Algorithm,computing
Binary,computing
Quantum,physics
Entropy,physics
Isotope,chemistry
Polymer,chemistry
Crystal,chemistry
Spectrum,optics
Wavelength,optics
Frequency,physics
Amplitude,physics
Resonance,physics
Kinetic,physics
Potential,physics
Tensor,mathematics
Fractal,mathematics
Topology,mathematics
Logic,computing
Neural,computing
Sigma,symbol
Delta,symbol
Omega,symbol
Lambda,symbol
Cipher,computing
Nexus,concept
